key	address	annote	author	booktitle	crossref	chapter	doi	edition	editor	eprint	howpublished	institution	journal	month	note	number	organization	pages	publisher	school	series	title	type	url	volume	year
metris2017piecewise	Netherlands	 	M\'{e}tris, Aline  and George, Susie M.  and Ropers, Delphine	 	 	 	10.1016/j.ijfoodmicro.2016.06.022	 	 	 	 	 	International Journal of Food Microbiology	January	 	 	 	63-74	 	 	 	Piecewise linear approximations to model the dynamics of adaptation to osmotic stress by food-borne pathogens	 		240	2017
li2016exploring	 	 	Li, Zhenya  and Sinnott, Richard O.  and Choon, Yee Wen  and Sjaugi, Muhammad Farhan  and Mohammad, Mohd Saberi  and Deris, Safaai  and Napis, Suhaimi  and Omatu, Sigeru  and Corchado, Juan Manuel  and Ibrahim, Zuwairie	10th International Conference on Practical Applications of Computational Biology \& Bioinformatics	 	 	 	 	 	 	 	 	 	 	 	 	 	133-139	 	 	 	Exploring the High Performance Computing-Enablement of a Suite of Gene-Knockout Based Genetic Engineering Applications	 		 	2016
vieira2016development	 	 	Vieira, V\'{i}tor  and Maia, Paulo  and Rocha, Isabel  and Rocha, Miguel	10th International Conference on Practical Applications of Computational Biology \& Bioinformatics	 	 	 	 	 	 	 	 	 	 	 	 	 	193-201	 	 	 	Development of an Integrated Framework for Minimal Cut Set Enumeration in Constraint-Based Models	 		 	2016
pfeuty2015adaptive	 	 	Pfeuty, Benjamin  and Thommen, Quentin	 	 	 	10.1371/journal.pone.0160247	 	 	 	 	 		 	 	8	 	 	Public Library of Science	 	 	Adaptive Benefits of Storage Strategy and dual AMPK/TOR Signaling in Metabolic Stress Response	 		11	2016
irwin2016bedaquiline	 	 	Irwin, Scott M.  and Prideaux, Brendan  and Lyon, Edward R.  and Zimmerman, Matthew D.  and Brooks, Elizabeth J.  and Schrupp, Christopher A.  and Chen, Chao  and Reichlen, Matthew J.  and Asay, Bryce {C}.  and Voskuil, Martin {I}.	 	 	 	10.1021/acsinfecdis.5b00127	 	 	 	 	 	ACS infectious diseases	April	 	4	 	251	American Chemical Society	 	 	Bedaquiline and Pyrazinamide Treatment Responses Are Affected by Pulmonary Lesion Heterogeneity in Mycobacterium tuberculosis Infected C3HeB/FeJ Mice	 		2	2016
nguyen2016a	United States	 	Nguyen, Tramy  and Roehner, Nicholas  and Zundel, Zach  and Myers, Chris J.	 	 	 	10.1021/acssynbio.5b00212	 	 	 	 	 	ACS Synthetic Biology	June	 	6	 	479-86	 	 	 	A Converter from the {S}ystems {B}iology {M}arkup {L}anguage to the Synthetic Biology Open Language	 		5	2016
watanabe2016efficient	United States	 	Watanabe, Leandro  and Myers, Chris J.	 	 	 	10.1021/acssynbio.5b00242	 	 	 	 	 	ACS Synthetic Biology	August	 	8	 	835-41	 	 	 	Efficient Analysis of {S}ystems {B}iology {M}arkup {L}anguage Models of Cellular Populations Using Arrays	 		5	2016
goni2016an	United States	 	Go\~{n}i-Moreno, Angel  and Carcajona, Marta  and Kim, Juhyun  and Martinez-Garc\'{i}a, Esteban  and Amos, Martyn  and de Lorenzo, Victor	 	 	 	10.1021/acssynbio.6b00029	 	 	 	 	 	ACS Synthetic Biology	July	 	10	 	1127-1135	 	 	 	An implementation-focused bio/algorithmic workflow for synthetic biology	 		5	2016
weiner2016perturbation	Germany	 	Weiner, Michael  and Tr\"{o}ndle, Julia  and Albermann, Christoph  and Sprenger, Georg A.  and Weuster-Botz, Dirk	 	 	 	10.1007/10_2015_326	 	 	 	 	 	Advances in Biochemical Engineering/Biotechnology	 	 	 	 	91-136	 	 	 	Perturbation Experiments: Approaches for Metabolic Pathway Analysis in Bioreactors	 		152	2016
elayavilli2016ion	United States	 	Elayavilli, Ravikumar Komandur  and Liu, Hongfang	 	 	 	 	 	 	 	 	 	AMIA Jt Summits Transl Sci Proc	 	 	 	 	42-51	 	 	 	Ion Channel ElectroPhysiology Ontology (ICEPO) - a case study of text mining assisted ontology development	 		2016	2016
